make,model,year,risk_level,analytics_exact_rows,analytics_model_rows,open_ev_exact_rows,source_count,sources,missing_reference_specs,reasons
Abarth,500e Convertible,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Abarth,500e Hatchback,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Abarth,600e Scorpionissima,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Abarth,600e Turismo,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Aiways,U5,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Aiways,U6,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Alfa,Romeo Junior Elettrica 54 kWh,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Alfa,Romeo Junior Elettrica 54 kWh Veloce,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Alpine,A290 Electric 180 hp,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Alpine,A290 Electric 220 hp,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,A6 Avant e-tron,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,A6 Avant e-tron performance,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,A6 Avant e-tron quattro,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,A6 Sportback e-tron,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,A6 Sportback e-tron performance,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,A6 Sportback e-tron quattro,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,A6 e-tron,2024,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Audi,A6 e-tron,2025,high,0,0,2,1,open-ev-data-v1.24.0.csv,,no analytics training rows for this make/model; only one dataset source
Audi,Q4 Sportback e-tron 40,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,Q4 Sportback e-tron 45,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
Audi,Q4 Sportback e-tron 45 quattro,,high,0,0,0,1,electric_vehicles_spec_2025.csv.csv,,no analytics training rows for this make/model; only one dataset source; not supported by analytics base or Open EV merge path
